campaign_id,channel,campaign_name,objective
C001,search,search_camp_001,acquisition
C002,search,search_camp_002,acquisition
C003,search,search_camp_003,acquisition
C004,search,search_camp_004,acquisition
C005,search,search_camp_005,acquisition
C006,search,search_camp_006,acquisition
C007,search,search_camp_007,acquisition
C008,search,search_camp_008,acquisition
C009,paid_social,paid_social_camp_009,acquisition
C010,paid_social,paid_social_camp_010,acquisition
C011,paid_social,paid_social_camp_011,acquisition
C012,paid_social,paid_social_camp_012,acquisition
C013,paid_social,paid_social_camp_013,acquisition
C014,paid_social,paid_social_camp_014,acquisition
C015,paid_social,paid_social_camp_015,acquisition
C016,paid_social,paid_social_camp_016,acquisition
C017,email,email_camp_017,retention
C018,email,email_camp_018,retention
C019,email,email_camp_019,retention
C020,email,email_camp_020,retention
C021,email,email_camp_021,retention
C022,email,email_camp_022,retention
C023,email,email_camp_023,retention
C024,email,email_camp_024,retention
C025,referral,referral_camp_025,acquisition
C026,referral,referral_camp_026,acquisition
C027,referral,referral_camp_027,acquisition
C028,referral,referral_camp_028,acquisition
C029,referral,referral_camp_029,acquisition
C030,referral,referral_camp_030,acquisition
C031,referral,referral_camp_031,acquisition
C032,referral,referral_camp_032,acquisition
C033,organic,organic_camp_033,brand
C034,organic,organic_camp_034,brand
C035,organic,organic_camp_035,brand
C036,organic,organic_camp_036,brand
C037,organic,organic_camp_037,brand
C038,organic,organic_camp_038,brand
C039,organic,organic_camp_039,brand
C040,organic,organic_camp_040,brand
