order_id,session_id,user_id,order_ts,gross_amount,discount_amount,shipping_amount,net_amount
O00000001,S00000002,U001667,2025-07-04T06:17:29,12869.16,2261.63,0.0,10607.53
O00000002,S00000018,U001077,2025-07-04T21:41:35,12537.13,1328.78,0.0,11208.35
O00000003,S00000088,U002260,2025-07-04T05:26:18,7783.09,892.6,0.0,6890.49
O00000004,S00000173,U001816,2025-07-05T21:34:07,12458.61,505.26,0.0,11953.35
O00000005,S00000188,U002414,2025-07-05T03:19:20,10186.43,400.94,0.0,9785.49
O00000006,S00000261,U001477,2025-07-05T09:53:00,4636.78,144.69,0.0,4492.09
O00000007,S00000274,,2025-07-05T09:27:25,1533.59,97.01,118.19,1554.77
O00000008,S00000319,U000296,2025-07-06T10:04:48,4757.13,277.42,0.0,4479.71
O00000009,S00000348,U001128,2025-07-06T00:07:41,9752.49,346.39,0.0,9406.1
O00000010,S00000400,U000507,2025-07-06T10:04:21,11359.61,446.69,0.0,10912.92
O00000011,S00000416,U001751,2025-07-06T01:57:35,5548.91,88.92,0.0,5459.99
O00000012,S00000419,U001520,2025-07-06T11:50:17,9785.42,448.73,0.0,9336.69
O00000013,S00000433,U002151,2025-07-07T12:50:08,8628.93,760.96,0.0,7867.97
O00000014,S00000449,U000379,2025-07-07T03:54:24,13866.23,594.46,0.0,13271.77
O00000015,S00000503,,2025-07-07T21:01:35,8332.23,517.12,0.0,7815.11
O00000016,S00000555,,2025-07-07T05:03:52,1306.85,64.3,60.77,1303.32
O00000017,S00000617,,2025-07-08T03:14:48,12138.22,708.66,0.0,11429.56
O00000018,S00000683,U001058,2025-07-08T01:40:22,12622.06,530.65,0.0,12091.41
O00000019,S00000709,U000077,2025-07-09T05:09:14,6356.88,92.23,0.0,6264.65
O00000020,S00000737,U001849,2025-07-09T16:02:44,7171.79,111.54,0.0,7060.25
O00000021,S00000813,U000165,2025-07-09T09:03:12,3601.25,121.39,0.0,3479.86
O00000022,S00000839,U000297,2025-07-10T03:13:55,8545.22,554.97,0.0,7990.24
O00000023,S00000854,U000236,2025-07-10T20:51:15,5509.6,408.05,0.0,5101.55
O00000024,S00000888,U000537,2025-07-10T03:20:33,770.75,41.72,84.18,813.21
O00000025,S00000925,U001850,2025-07-10T03:23:02,8993.05,407.56,0.0,8585.49
O00000026,S00000932,,2025-07-10T01:19:38,6085.17,407.97,0.0,5677.2
O00000027,S00000987,,2025-07-11T13:58:41,6845.24,691.32,0.0,6153.92
O00000028,S00001008,U002407,2025-07-11T18:30:49,5483.69,265.41,0.0,5218.28
O00000029,S00001117,U001038,2025-07-12T17:53:54,7581.37,600.81,0.0,6980.56
O00000030,S00001277,,2025-07-13T02:25:35,5536.9,469.86,0.0,5067.04
O00000031,S00001289,U001724,2025-07-13T09:14:35,5237.54,477.36,0.0,4760.18
O00000032,S00001331,U000588,2025-07-13T01:01:16,944.72,101.75,112.13,955.1
O00000033,S00001334,U001291,2025-07-13T16:48:36,3524.77,412.52,0.0,3112.25
O00000034,S00001342,,2025-07-13T13:43:29,2739.53,219.84,0.0,2519.69
