date,channel,sessions,orders,revenue,spend,impressions,clicks,CPC,CTR,CVR,ROAS,CAC
2025-07-04,email,418,20,123248.3,19566.32,424886,4484,4.363586083853702,0.010553419034752851,0.04784688995215311,6.299002571766178,978.316
2025-07-04,organic,696,14,64098.51,5380.51,620736,7272,0.7398941144114412,0.011715125270646458,0.020114942528735632,11.913091881624604,384.32214285714286
2025-07-04,paid_social,991,30,152446.28,157932.61,856233,15201,10.389619761857771,0.017753345175904222,0.030272452068617558,0.965261575807555,5264.420333333333
2025-07-04,referral,201,6,37622.67,32210.79,114693,2305,13.974312364425163,0.02009712885703574,0.029850746268656716,1.1680145069400656,5368.465
2025-07-04,search,1120,43,243962.18,188257.71,783751,21862,8.611184246638002,0.02789406329306119,0.038392857142857145,1.295894760432388,4378.086279069767
2025-07-05,email,359,14,67385.24,18352.15,314430,3637,5.045958207313721,0.01156696243997074,0.03899721448467967,3.671789953765635,1310.8678571428572
2025-07-05,organic,579,11,65332.79,4010.76,691234,7937,0.5053244298853471,0.011482363425410208,0.018998272884283247,16.28937907030089,364.61454545454546
2025-07-05,paid_social,845,11,49038.96,130147.97,698370,11082,11.744086807435481,0.015868379225911767,0.01301775147928994,0.3767938908305677,11831.633636363636
2025-07-05,referral,167,3,21740.03,32529.45,112069,1857,17.517205169628433,0.016570148747646538,0.017964071856287425,0.6683184007107406,10843.15
2025-07-05,search,1120,34,215296.92,159676.14,724248,21583,7.398236575082241,0.029800565552131314,0.030357142857142857,1.348334948477587,4696.35705882353
2025-07-06,email,437,16,112209.0,17708.52,337532,4825,3.670159585492228,0.014294940924119787,0.036613272311212815,6.336441441746684,1106.7825
2025-07-06,organic,565,4,21258.460000000003,4565.21,647358,6517,0.7005079024090839,0.010067072624421108,0.007079646017699115,4.656622586912761,1141.3025
2025-07-06,paid_social,849,11,55087.57,126196.48,686203,10437,12.091259940595956,0.01520978485958237,0.012956419316843345,0.4365222389721171,11472.407272727272
2025-07-06,referral,190,3,17676.21,29244.95,125282,2314,12.638267070008643,0.018470330933414218,0.015789473684210527,0.6044192245156855,9748.316666666668
2025-07-06,search,940,23,172437.26,164394.8,690489,15126,10.868359116752611,0.02190621429161073,0.02446808510638298,1.048921620391886,7147.599999999999
2025-07-07,email,273,16,84911.56999999999,16110.2,288473,3760,4.284627659574468,0.013034148776488614,0.05860805860805861,5.270671375898498,1006.8875
2025-07-07,organic,287,3,29556.18,3856.91,517327,3997,0.9649512134100575,0.007726254380691517,0.010452961672473868,7.663175962104379,1285.6366666666665
2025-07-07,paid_social,852,15,114093.09,117923.28,630712,14087,8.37107120039753,0.022335075280001015,0.017605633802816902,0.9675196449759539,7861.552
2025-07-07,referral,230,8,57492.23,29280.44,129616,3108,9.42099099099099,0.0239785211702259,0.034782608695652174,1.9635029391634826,3660.055
2025-07-07,search,1072,38,256530.38,142097.27000000002,643130,18483,7.6879981604717855,0.02873913516707353,0.03544776119402985,1.8053153308293677,3739.4018421052638
2025-07-08,email,304,11,76576.5,16823.84,296476,3818,4.406453640649555,0.012877939529675251,0.03618421052631579,4.551665969243644,1529.44
2025-07-08,organic,515,7,54191.56,3983.4300000000003,619664,6511,0.6118000307172478,0.01050730718582974,0.013592233009708738,13.604245587345577,569.0614285714286
2025-07-08,paid_social,761,12,59661.409999999996,112896.66,609260,10711,10.540253944542993,0.017580343367363686,0.01576872536136662,0.5284603636635485,9408.055
2025-07-08,referral,239,5,25856.280000000002,28023.88,139087,3192,8.779411027568923,0.022949664598416818,0.02092050209205021,0.9226516813517615,5604.776
2025-07-08,search,1191,39,271316.08999999997,164299.43,719951,21797,7.537708400238564,0.030275671538757497,0.0327455919395466,1.6513513771776323,4212.805897435897
2025-07-09,email,276,10,61879.52,15581.03,315245,3706,4.204271451699946,0.011755935859410935,0.036231884057971016,3.9714653010744474,1558.103
2025-07-09,organic,509,6,35246.53,4299.44,524325,6356,0.6764380113278791,0.01212225241977781,0.011787819253438114,8.197935079917386,716.5733333333333
2025-07-09,paid_social,827,12,48765.58,103999.9,567338,10404,9.996145713187236,0.018338274538282295,0.014510278113663845,0.468900258557941,8666.658333333333
2025-07-09,referral,235,6,32599.6,25101.84,141954,3181,7.891178874567746,0.02240866759654536,0.02553191489361702,1.298693641581653,4183.64
2025-07-09,search,1061,21,149098.68,121643.62,533034,16040,7.583766832917705,0.030091889072742076,0.019792648444863337,1.2257007806903477,5792.553333333333
2025-07-10,email,237,8,62885.380000000005,15100.42,302880,3209,4.705646618884388,0.010594955097728473,0.03375527426160337,4.164478868799676,1887.5525
2025-07-10,organic,671,11,71387.22,4000.9900000000002,701328,8086,0.49480460054415043,0.011529555357835421,0.01639344262295082,17.842389008720343,363.72636363636366
2025-07-10,paid_social,683,10,53613.4,98717.89,578775,9278,10.639996766544513,0.016030409053604595,0.014641288433382138,0.543097102257757,9871.789
2025-07-10,referral,186,4,37263.06,30758.420000000002,105630,2225,13.824008988764046,0.021064091640632394,0.021505376344086023,1.2114751017770091,7689.6050000000005
2025-07-10,search,1045,36,227407.78,132412.64,565509,15633,8.47007228299111,0.027644122374710218,0.03444976076555024,1.7174174610520565,3678.1288888888894
2025-07-11,email,254,9,68278.33,18312.05,293849,3278,5.5863483831604634,0.011155389332616412,0.03543307086614173,3.728601112382284,2034.6722222222222
2025-07-11,organic,700,11,68785.85,3884.63,709709,8586,0.45243768926158867,0.012097916188184172,0.015714285714285715,17.707181893771093,353.14818181818185
2025-07-11,paid_social,868,15,83897.39,126939.26,656144,13127,9.670089129275539,0.020006279109463777,0.01728110599078341,0.6609254693937873,8462.617333333334
2025-07-11,referral,176,2,12119.09,25529.19,128593,2255,11.321148558758315,0.017535946746712498,0.011363636363636364,0.4747150222940877,12764.595
2025-07-11,search,1053,27,182009.38999999998,147756.83000000002,634483,17478,8.453875157340658,0.02754683734631188,0.02564102564102564,1.2318171011113326,5472.475185185186
2025-07-12,email,267,17,142445.56,17417.079999999998,337553,3166,5.501288692356285,0.009379267848308266,0.06367041198501873,8.178498347599024,1024.5341176470588
2025-07-12,organic,777,8,33999.35,3601.62,823122,9370,0.3843778014941302,0.011383488717346882,0.010296010296010296,9.440015881742104,450.2025
2025-07-12,paid_social,660,11,57923.52,110709.56999999999,594794,8252,13.416089432864759,0.013873710898226949,0.016666666666666666,0.5232024656947001,10064.506363636363
2025-07-12,referral,228,6,41736.57,32635.16,137256,2855,11.430879159369526,0.020800547881331236,0.02631578947368421,1.2788835721963674,5439.193333333334
2025-07-12,search,1066,25,183154.37,152796.52,645936,18768,8.141332054560955,0.029055510143419783,0.02345215759849906,1.1986815537421927,6111.8607999999995
2025-07-13,email,455,28,200681.59,21663.329999999998,362786,4436,4.88352795311091,0.01222759422910476,0.06153846153846154,9.263653833459584,773.6903571428571
2025-07-13,organic,501,15,88827.56,5270.34,513957,4553,1.1575532615857678,0.00885871775265246,0.029940119760479042,16.854237108042366,351.356
2025-07-13,paid_social,1120,29,155421.79,173139.99,916946,18850,9.185145358090185,0.020557371971740974,0.025892857142857145,0.8976654671170999,5970.34448275862
2025-07-13,referral,305,11,60513.26,43413.01,135974,2922,14.857292950034223,0.021489402385750218,0.036065573770491806,1.393896898648585,3946.637272727273
2025-07-13,search,1120,39,202005.05,206584.52,924081,27685,7.4619656853892,0.02995949489276373,0.03482142857142857,0.977832462955114,5297.038974358974
2025-07-14,email,281,12,91851.85,16675.129999999997,313577,3598,4.634555308504724,0.011474055814042485,0.042704626334519574,5.508313878212645,1389.5941666666665
2025-07-14,organic,361,9,76230.31,3758.0,532151,4605,0.8160694896851248,0.00865355885829398,0.024930747922437674,20.284808408728047,417.55555555555554
2025-07-14,paid_social,796,15,71035.84,121136.74,623817,12212,9.919484113986243,0.019576253933445226,0.018844221105527637,0.586410365674361,8075.782666666667
2025-07-14,referral,224,4,25599.18,26919.32,140503,2925,9.203186324786325,0.020818060824324035,0.017857142857142856,0.9509593853039379,6729.83
2025-07-14,search,938,31,227526.94999999998,131384.79,571000,17856,7.358019153225807,0.03127145359019264,0.03304904051172708,1.73176019842175,4238.2190322580645
2025-07-15,email,226,9,47652.98,14510.97,243744,3100,4.680958064516129,0.012718261782854142,0.03982300884955752,3.2839279524387415,1612.33
2025-07-15,organic,421,8,47813.509999999995,4215.09,585408,5097,0.8269746909947028,0.008706748114135783,0.019002375296912115,11.343413782386614,526.88625
2025-07-15,paid_social,673,13,58197.76,114105.85,614266,10601,10.763687387982266,0.017257995721723162,0.019316493313521546,0.5100330964626266,8777.373076923077
2025-07-15,referral,174,8,43265.96,24761.54,115631,2277,10.874633289415899,0.019691951120374293,0.04597701149425287,1.7473048929913082,3095.1925
2025-07-15,search,973,39,241289.53,142963.8,591963,17202,8.310882455528427,0.02905924863547215,0.040082219938335044,1.6877666234389406,3665.7384615384613
2025-07-16,email,332,9,68926.73999999999,15747.42,312632,4313,3.6511523301646185,0.01379577266562604,0.02710843373493976,4.377017949606983,1749.7133333333334
2025-07-16,organic,277,5,25719.7,3820.16,483989,4172,0.915666347075743,0.008620030620530631,0.018050541516245487,6.732623764449657,764.0319999999999
2025-07-16,paid_social,697,8,44310.84,117526.5,610526,9708,12.10614956736712,0.015901042707435885,0.011477761836441894,0.3770284999553292,14690.8125
2025-07-16,referral,118,3,24888.870000000003,29653.21,81361,1423,20.838517217146872,0.01748995218839493,0.025423728813559324,0.8393313911040323,9884.403333333334
2025-07-16,search,846,21,136807.67,110627.47,490924,15713,7.040505950486858,0.032006990898794926,0.024822695035460994,1.236651891252688,5267.974761904762
2025-07-17,email,254,7,22932.77,14927.800000000001,341147,3563,4.189671625035083,0.010444178022963707,0.027559055118110236,1.5362457964335,2132.5428571428574
2025-07-17,organic,373,10,52966.86,3811.99,650824,4989,0.7640789737422329,0.007665666908411491,0.02680965147453083,13.894805600224556,381.19899999999996
2025-07-17,paid_social,878,20,83357.7,119941.52,651405,12011,9.985972858213305,0.018438605782884688,0.022779043280182234,0.6949861899365624,5997.076
2025-07-17,referral,221,4,36800.97,28436.7,136167,2857,9.953342667133358,0.02098158878436038,0.01809954751131222,1.294136450432012,7109.175
2025-07-17,search,1013,39,302923.89,174418.03,749023,19804,8.807212179357705,0.026439775547613356,0.0384995064165844,1.7367693580761119,4472.257179487179
2025-07-18,email,336,12,88183.89,16103.81,294037,3968,4.058419858870968,0.013494900301662716,0.03571428571428571,5.475964383583761,1341.9841666666666
2025-07-18,organic,598,9,68742.66,4161.18,601208,6973,0.5967560590850424,0.011598315391678089,0.015050167224080268,16.519991925367325,462.35333333333335
2025-07-18,paid_social,811,12,49624.03,114297.72,591601,11167,10.235311184740754,0.018875897775696794,0.014796547472256474,0.4341646535031495,9524.81
2025-07-18,referral,139,6,40339.64,32166.12,121475,1929,16.6750233281493,0.01587981066062976,0.04316546762589928,1.2541033857984738,5361.0199999999995
2025-07-18,search,1033,38,358862.63,179857.0,775049,24493,7.34320009798718,0.031601872913841575,0.036786060019361085,1.995266406089282,4733.078947368421
2025-07-19,email,225,9,46926.04,17858.19,291446,2500,7.143275999999999,0.008577918379391036,0.04,2.6277041514285604,1984.243333333333
2025-07-19,organic,809,11,74987.37,4365.1900000000005,820612,9729,0.44867817864117593,0.0118557856819057,0.013597033374536464,17.17848936701495,396.8354545454546
2025-07-19,paid_social,987,17,106311.41,126266.34,683132,12805,9.860705974228816,0.01874454717389904,0.017223910840932118,0.8419616027517707,7427.431764705882
2025-07-19,referral,274,9,70085.70999999999,33482.46,151614,3277,10.217412267317668,0.0216140989618373,0.032846715328467155,2.0932067118126922,3720.273333333333
2025-07-19,search,1101,36,243225.74,143372.95,590353,18805,7.624193033767615,0.03185382305163182,0.0326975476839237,1.6964548752048414,3982.5819444444446
2025-07-20,email,314,19,97841.77,19055.82,307375,3602,5.2903442531926705,0.01171858479056527,0.06050955414012739,5.134482273657078,1002.937894736842
2025-07-20,organic,838,19,85802.86,3718.44,868908,9245,0.4022109248242293,0.010639791554456858,0.022673031026252982,23.074961543012662,195.70736842105262
2025-07-20,paid_social,1023,13,166780.07,151109.04,723753,14162,10.670035305747776,0.01956744911592767,0.01270772238514174,1.1037067669809828,11623.772307692308
2025-07-20,referral,185,4,16313.380000000001,32120.98,93986,1987,16.165566180171112,0.021141446598429554,0.021621621621621623,0.5078730474599468,8030.245
2025-07-20,search,1106,28,196025.93,187189.37,782608,22127,8.459771772043204,0.028273414020812463,0.02531645569620253,1.047206526738137,6685.334642857143
2025-07-21,email,282,11,91613.58,15359.34,319354,3664,4.1919596069869,0.01147316144466642,0.03900709219858156,5.964682076182961,1396.3036363636363
2025-07-21,organic,526,10,53862.78,4137.04,573747,6941,0.5960293905777265,0.012097666741612592,0.019011406844106463,13.019642062924216,413.704
2025-07-21,paid_social,886,9,47969.45,134805.76,711880,12682,10.629692477527204,0.01781480024723268,0.010158013544018058,0.3558412489199274,14978.417777777779
2025-07-21,referral,180,1,7162.02,27835.2,118365,2373,11.729962073324906,0.020048156127233558,0.005555555555555556,0.25730082772891877,27835.2
2025-07-21,search,975,28,267506.96,141601.0,628897,16044,8.825791573173772,0.02551133174430789,0.028717948717948718,1.8891601048015199,5057.178571428572
2025-07-22,email,223,7,22785.99,15275.43,224075,2810,5.436096085409253,0.012540444047751868,0.03139013452914798,1.4916758480775991,2182.2042857142856
2025-07-22,organic,427,10,66644.02,3957.68,594742,6333,0.6249297331438497,0.010648314731429763,0.0234192037470726,16.839163348224215,395.768
2025-07-22,paid_social,616,10,49967.479999999996,108876.66,575004,8623,12.626308709265917,0.01499641741622667,0.016233766233766232,0.4589365617938683,10887.666000000001
2025-07-22,referral,227,3,19385.84,25894.97,116232,2714,9.541256448047163,0.023349852020097737,0.013215859030837005,0.748633421857604,8631.656666666668
2025-07-22,search,1073,41,264366.66,133407.05,573983,16150,8.260498452012383,0.028136721819287332,0.03821062441752097,1.9816543428551938,3253.830487804878
2025-07-23,email,354,19,102849.15000000001,18267.97,320998,4507,4.053243842911027,0.014040585922653724,0.05367231638418079,5.630026215282815,961.4721052631579
2025-07-23,organic,582,2,11839.130000000001,3919.15,650691,8376,0.4679023400191022,0.012872469420969401,0.003436426116838488,3.020841253843308,1959.575
2025-07-23,paid_social,868,18,87221.74,117877.34,601772,12302,9.581965534059503,0.02044295846267357,0.020737327188940093,0.7399364458003549,6548.7411111111105
2025-07-23,referral,203,4,29840.38,30119.83,119752,2330,12.926965665236052,0.01945687754693032,0.019704433497536946,0.9907220591882491,7529.9575
2025-07-23,search,1032,14,72843.77,145621.53,640537,20586,7.07381375692218,0.032138658656720845,0.013565891472868217,0.5002266491774946,10401.537857142857
2025-07-24,email,263,14,64357.05,11762.55,289613,3393,3.466710875331565,0.011715634311995663,0.053231939163498096,5.471351875231137,840.1821428571428
2025-07-24,organic,619,12,83071.19,3791.79,698977,9442,0.401587587375556,0.013508312862941126,0.01938610662358643,21.90817265724104,315.9825
2025-07-24,paid_social,761,8,51914.91,111041.96,581895,9896,11.220893290218271,0.01700650460993822,0.010512483574244415,0.46752515895792907,13880.245
2025-07-24,referral,169,2,19506.510000000002,26275.54,138413,2383,11.026244229962233,0.017216590927152796,0.011834319526627219,0.7423828397056731,13137.77
2025-07-24,search,988,24,156676.08,113524.91,499380,15381,7.380853650607893,0.030800192238375587,0.024291497975708502,1.3801030980777698,4730.204583333333
2025-07-25,email,341,20,135473.72,16424.04,337323,4670,3.516925053533191,0.013844297602001643,0.05865102639296188,8.248501586698522,821.202
2025-07-25,organic,646,8,50804.06,4137.76,700376,7525,0.549868438538206,0.010744228814236924,0.01238390092879257,12.278155330420322,517.22
2025-07-25,paid_social,888,21,133731.89,122060.12,656257,11513,10.601938678016156,0.01754343191767859,0.02364864864864865,1.0956231240801666,5812.386666666666
2025-07-25,referral,221,8,49055.28,28336.66,120985,2563,11.056051502145923,0.021184444352605695,0.03619909502262444,1.731159565029894,3542.0825
2025-07-25,search,985,30,168294.98,152349.72,659780,17089,8.915075194569607,0.025901057928400376,0.030456852791878174,1.1046622205803858,5078.324
2025-07-26,email,291,13,113683.64,17473.39,332825,3223,5.421467576791809,0.009683767745812364,0.044673539518900345,6.506100991278739,1344.106923076923
2025-07-26,organic,534,9,66340.7,4659.77,689394,6368,0.7317478015075377,0.009237098089046322,0.016853932584269662,14.236904396568928,517.7522222222223
2025-07-26,paid_social,1018,12,50011.51,140952.79,768194,14604,9.65165639550808,0.019010822786952253,0.011787819253438114,0.35481035884426265,11746.065833333334
2025-07-26,referral,165,8,47849.49,30627.5,122171,2225,13.765168539325842,0.01821217801278536,0.048484848484848485,1.5623047914455963,3828.4375
2025-07-26,search,1019,29,197519.97,129928.97,558972,15191,8.553022842472517,0.027176674323579713,0.02845927379784102,1.5202150067071263,4480.309310344827
2025-07-27,email,317,17,115298.7,18269.57,283597,3998,4.569677338669335,0.014097469296219635,0.05362776025236593,6.310969552102211,1074.6805882352942
2025-07-27,organic,596,7,52996.04000000001,3971.09,624963,6875,0.577613090909091,0.011000651238553323,0.01174496644295302,13.345464343542957,567.2985714285714
2025-07-27,paid_social,841,12,91091.39,116453.6,610917,10928,10.656442166910688,0.017887863654146144,0.014268727705112961,0.782211885248717,9704.466666666667
2025-07-27,referral,216,9,41802.59,33038.49,128729,2382,13.87006297229219,0.018503989000147596,0.041666666666666664,1.2652693873115872,3670.943333333333
2025-07-27,search,1051,31,240480.28,143744.13,633081,17345,8.287352551167483,0.027397757948824875,0.029495718363463368,1.6729746112067323,4636.907419354839
2025-07-28,email,191,7,37436.97,14523.18,219811,2460,5.903731707317073,0.011191432639858789,0.03664921465968586,2.577739172825786,2074.7400000000002
2025-07-28,organic,335,10,45911.87,4694.21,491434,4866,0.9646958487464036,0.009901634807522475,0.029850746268656716,9.78053176146785,469.421
2025-07-28,paid_social,880,17,135138.96,125284.3,648467,12391,10.110911145186023,0.01910814274280727,0.019318181818181818,1.0786583793819335,7369.664705882353
2025-07-28,referral,165,9,67329.59000000001,28265.45,113327,2148,13.158961824953446,0.018954000370608945,0.05454545454545454,2.382045571536983,3140.605555555556
2025-07-28,search,1007,32,209311.3,128644.02,557267,17244,7.460219206680585,0.030943874300828865,0.031777557100297914,1.6270581407515092,4020.125625
2025-07-29,email,199,6,44422.43,14865.73,246515,2863,5.192361159622773,0.011613897734417783,0.03015075376884422,2.98824410237506,2477.6216666666664
2025-07-29,organic,536,6,27700.14,3868.3999999999996,636335,7000,0.5526285714285714,0.011000495022276003,0.011194029850746268,7.1606193775204225,644.7333333333332
2025-07-29,paid_social,812,11,48699.2,125516.22,645558,11637,10.785960299046145,0.018026265649252273,0.013546798029556651,0.38799128909395136,11410.565454545454
2025-07-29,referral,172,3,81588.76999999999,28963.95,123022,2674,10.831694091249066,0.02173594966753914,0.01744186046511628,2.8169075695821872,9654.65
2025-07-29,search,1045,31,246860.84,139364.48,605121,18002,7.741610932118654,0.029749422016423163,0.02966507177033493,1.7713325518812253,4495.6283870967745
2025-07-30,email,295,14,84251.65,14177.78,342744,4013,3.5329628706703216,0.011708447120883226,0.04745762711864407,5.942513567004142,1012.6985714285714
2025-07-30,organic,322,3,34304.880000000005,3779.45,527313,4455,0.848361391694725,0.008448492640993111,0.009316770186335404,9.076685761155725,1259.8166666666666
2025-07-30,paid_social,690,7,26024.12,108261.37000000001,571150,9517,11.375577387832301,0.016662873150660947,0.010144927536231883,0.2403823265861128,15465.910000000002
2025-07-30,referral,190,9,56516.87,27335.67,136303,2596,10.529919106317411,0.019045802366785766,0.04736842105263158,2.0675136186528444,3037.2966666666666
2025-07-30,search,1108,31,237816.46,148290.46000000002,622800,19261,7.699001090286071,0.03092646114322415,0.027978339350180504,1.603720563008571,4783.5632258064525
2025-07-31,email,359,14,102523.31,15319.91,353246,4452,3.441129829290207,0.01260311510958369,0.03899721448467967,6.692161376927149,1094.2792857142856
2025-07-31,organic,590,13,68633.34,4160.95,732183,8366,0.4973643318192684,0.011426105222328297,0.022033898305084745,16.494632235427005,320.0730769230769
2025-07-31,paid_social,860,6,31367.05,131671.87,654285,12261,10.73908082538129,0.01873954010866824,0.0069767441860465115,0.2382213452273443,21945.311666666665
2025-07-31,referral,198,3,16210.119999999999,27399.33,145863,2539,10.791386372587633,0.017406744685081205,0.015151515151515152,0.5916246857131178,9133.11
2025-07-31,search,1080,34,278059.32,158379.74,739332,21875,7.240216685714286,0.029587519544670055,0.03148148148148148,1.7556495546715762,4658.227647058823
2025-08-01,email,283,8,42017.65,16548.37,261670,3328,4.972466947115384,0.012718309320900371,0.028268551236749116,2.5390808883291833,2068.54625
